Model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Ridge,0.826496327928,0.034880989262,0.653839203556,0.0504175072571,0.509509665016,0.036880919848
XGBoost,0.782970716074,0.058990117284,0.728514256989,0.104085571193,0.557449094677,0.0948261872115
Stacking Ensemble,0.778627707694,0.0585851117518,0.735272102858,0.0944575569236,0.572577762483,0.094809247613
Random Forest,0.749569625225,0.0563772693039,0.787918693555,0.101259815299,0.601630704,0.0681901669603
LightGBM,0.747045637422,0.0496657317039,0.790837074002,0.0702397209217,0.621862839675,0.0685340674512
