Model,Fold,n_train,n_test,R2,RMSE,MAE
Random Forest,1,125,32,0.802246774998,2.4100491626,1.7856859375
Random Forest,2,125,32,0.87802221506,2.01500713472,1.525996875
Random Forest,3,126,31,0.852917414302,2.0151501222,1.65379032258
Random Forest,4,126,31,0.890192376444,1.86815372263,1.47856290323
Random Forest,5,126,31,0.879882224815,1.92494337009,1.43901612903
XGBoost,1,125,32,0.840930185406,2.16151374668,1.59360209063
XGBoost,2,125,32,0.873827436124,2.04936200926,1.48901580803
XGBoost,3,126,31,0.869934765388,1.89499204637,1.50918309223
XGBoost,4,126,31,0.931378743406,1.47681364586,1.14750274228
XGBoost,5,126,31,0.905319077848,1.70901375154,1.30519976631
LightGBM,1,125,32,0.833284430847,2.21285111209,1.65486359952
LightGBM,2,125,32,0.860425885855,2.15545349436,1.58811719342
LightGBM,3,126,31,0.813327340553,2.27021576145,1.81943383934
LightGBM,4,126,31,0.867056921099,2.05555560598,1.76063049737
LightGBM,5,126,31,0.902416371388,1.73501326407,1.36131855739
Ridge,1,125,32,0.856999013601,2.04943255682,1.59204427584
Ridge,2,125,32,0.795934347128,2.60628061271,1.93117829638
Ridge,3,126,31,0.843540566295,2.0783929193,1.73150662197
Ridge,4,126,31,0.821663284119,2.38076618625,1.88776034704
Ridge,5,126,31,0.911853082451,1.64898947104,1.24656277542
Stacking Ensemble,1,125,32,0.851141099625,2.0909878905,1.5622859377
Stacking Ensemble,2,125,32,0.874331895029,2.04526106092,1.4634446261
Stacking Ensemble,3,126,31,0.862832715716,1.94604127511,1.58111582918
Stacking Ensemble,4,126,31,0.917890298314,1.61545029682,1.33139083163
Stacking Ensemble,5,126,31,0.914048417053,1.62832562489,1.25704330123
