Model,Fold,n_train,n_test,R2,RMSE,MAE
Random Forest,1,98,25,0.654994594341,0.878449750096,0.63805754
Random Forest,2,98,25,0.818453255569,0.618579382258,0.48399718
Random Forest,3,98,25,0.752833287795,0.904369727188,0.6909053
Random Forest,4,99,24,0.791931834986,0.777057950711,0.591176666667
Random Forest,5,99,24,0.729635153435,0.761136657524,0.604016833333
XGBoost,1,98,25,0.749176983387,0.749010088148,0.600363459777
XGBoost,2,98,25,0.821089468099,0.614071810645,0.462527775154
XGBoost,3,98,25,0.769465640889,0.873411402104,0.698793176538
XGBoost,4,99,24,0.872941041177,0.607230022924,0.441577937511
XGBoost,5,99,24,0.70218044682,0.798847961127,0.583983124402
LightGBM,1,98,25,0.735642090986,0.768953588065,0.575856684205
LightGBM,2,98,25,0.790628031424,0.664294223636,0.525415881017
LightGBM,3,98,25,0.798344828052,0.81687519494,0.643698376938
LightGBM,4,99,24,0.751067191965,0.849946635215,0.635723166241
LightGBM,5,99,24,0.659546044681,0.854115728155,0.728620089974
Ridge,1,98,25,0.772131737348,0.71391399284,0.568793090437
Ridge,2,98,25,0.798452845369,0.651762761653,0.490366929238
Ridge,3,98,25,0.853282605414,0.696773827449,0.535921776209
Ridge,4,99,24,0.860515071557,0.636230129549,0.47820875365
Ridge,5,99,24,0.848099379953,0.570515306291,0.474257775543
Stacking Ensemble,1,98,25,0.754327988133,0.741279201292,0.595997200623
Stacking Ensemble,2,98,25,0.801476611499,0.646855160934,0.50417844706
Stacking Ensemble,3,98,25,0.775893348851,0.861149193142,0.701066750725
Stacking Ensemble,4,99,24,0.870253230993,0.613619094908,0.431523849439
Stacking Ensemble,5,99,24,0.691187358993,0.813457864012,0.630122564569
