Model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Stacking Ensemble,0.789102217807,0.0281814524285,0.668438443602,0.0458826695537,0.522114789479,0.0292333962189
XGBoost,0.785640143435,0.0293991264649,0.673924629593,0.049799625836,0.529981464849,0.0337193633347
LightGBM,0.77936485233,0.024454876799,0.684080160633,0.0355775916507,0.530961628287,0.0210422011593
Random Forest,0.774803249595,0.0314005265702,0.690576173315,0.0494746246117,0.535461019108,0.0355137268569
Ridge,0.698712812705,0.0503345995449,0.798257528353,0.0709957554755,0.638685684806,0.0557056874408
