Feature,SHAP_importance
IGP,0.618875801563
RQI_proxy,0.525393486023
Illite,0.111743688583
Formation_code,0.0880632847548
Quartz_index,0.0530464313924
Total_clay,0.0507985316217
Qtz_detrital,0.0471474826336
K_feldspar,0.0434854477644
IGV_pct,0.0419669188559
Qtz_cement,0.0409349761903
Dolomite_cement,0.0365906246006
Total_cement,0.0358465313911
Kaolinite,0.0292474664748
Chlorite_auth,0.0290029197931
Calcite_cement,0.0285964459181
Framework,0.027809118852
Clay_cement_ratio,0.0235068593174
Plagioclase_d,0.0218903198838
TiOx_auth,0.0162762217224
