Model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
XGBoost,0.884278041634,0.0311614591474,1.85833903994,0.243970403361,1.4089006999,0.161041838276
Stacking Ensemble,0.884048885147,0.0271023292356,1.86521322965,0.204167505674,1.43905610517,0.12702899566
Random Forest,0.860652201124,0.0316706611276,2.04666070245,0.190118851686,1.57661043347,0.127103536355
LightGBM,0.855302189948,0.0304330141605,2.08581784759,0.189192401175,1.6368727374,0.159546494418
Ridge,0.845998058719,0.0388908752824,2.15277234922,0.324856748559,1.67781046333,0.246774349228
