Feature,SHAP_importance
IGP,4.09100914001
IGV_pct,0.53288179636
Formation_code,0.51697832346
Kaolinite,0.449314117432
Qtz_detrital,0.307418316603
Illite,0.265832424164
K_feldspar,0.261511325836
Framework,0.239817932248
Quartz_index,0.199866488576
Total_cement,0.19030790031
Calcite_cement,0.162144556642
Total_clay,0.151626318693
Qtz_cement,0.131466135383
Clay_cement_ratio,0.119340643287
Dolomite_cement,0.109513565898
TiOx_auth,0.086530007422
Plagioclase_d,0.0694991275668
Chlorite_auth,0.00634014233947
