Model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
XGBoost,0.823951823161,0.0108681129583,2.72492733986,0.164632656691,2.09568615349,0.11524789691
Stacking Ensemble,0.823632880686,0.0108367387424,2.72765083409,0.168579384271,2.09701895773,0.114253179967
LightGBM,0.816209495758,0.011263482623,2.78298296532,0.146477346854,2.14017387794,0.0802542122159
Random Forest,0.802831246609,0.0162238395405,2.87930321109,0.136010718765,2.20403441176,0.0932479923962
Ridge,0.659211007106,0.121937063843,3.74005161059,0.639146443582,2.87542413352,0.257701103099
