task,n,wells,formations,folds,scheme,model,encoding,imputation,R2_mean,RMSE_mean,MAE_mean,R2_sd,RMSE_sd,MAE_sd,R2_pooled,RMSE_pooled,MAE_pooled
p1_porosity,157,6,4,5,nested,XGBoost,onehot,median,0.8799380656085489,1.8996103587242046,1.4279072130038855,0.029571610278943953,0.21531408993244402,0.16064023430312513,0.8825524974817499,1.9118031135279152,1.429101204522856
p1_conditional,123,5,3,5,nested,XGBoost,onehot,median,0.8409313712034663,0.6295555921895779,0.487508736608394,0.041034103956042546,0.11615088264672346,0.09650975479045007,0.8407863084832196,0.6380700583543522,0.4877828298486103
p2_porosity,850,51,4,5,nested,XGBoost,onehot,median,0.8261567554075517,2.703848069949297,2.086906019346153,0.014978030711692989,0.1283637077658785,0.08988623418734472,0.8281753231133241,2.7062845708730743,2.086906019346153
p2_conditional,785,50,4,5,nested,XGBoost,onehot,median,0.7915421194054324,0.6642378178103114,0.5144502360600219,0.03378281455155478,0.055388507501852265,0.04117721557130725,0.7945136533034587,0.6660827186018495,0.5144502360600218
