bold outlines: feature of the ML model,,,,Grains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detrital clay,,,,,,,Matrix,,,,Cements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veins,,,Replacive minerals,,,,,,,,,,,,,Pore types,,,,,,,IGV/QFR,,,,Porosity/Permeability,,,,,,,
ID,Well,"Core Depth 
(m)",Stratigraphy,Monocrystalline quartz grains,Polycrystalline quartz grains,Chert grain,Monocrystalline quartz grain with anhydrite inclusions,Polycrystalline quartz grain with anhydrite inclusions,K-Feldspar grain,Plagioclase grain,Sedimentary RF,Claystone RF,Siltstone RF,Sandstone RF,Metamorphic RF,Quartzite RF,Phyllite RF,Schist RF,Gneis RF,Mafic metamorphic RF,Igneous RF,Plutonic RF,Volcanic RF,Indeterminate RF,Deformed grains without microporosity,Deformed microporous grains,Mica,Muscovite,Biotite,Chlorite (detr.),Heavy Minerals,Hematite grain,Opaque grains,Clay pellets,Ooids,Carbonaceous material,Limestone RF,Bioclasts,Siderite intraclast,Micrite RF,Dolomite RF,Anhydrite clast,Glauconite,Silcrete fragment,Altered grains,Organic particles,Phosphatic grains,Clay pellicles,Detrital clay laminae,Detrital clay matrix,Detrital silt matrix,Detrital clay rims,Invaded drilling mud,Infiltrated clays,Micrite matrix,Carbonate matrix (siderite),Dolomicrite matrix,Pseudomatrix,Calcite pf,Fe-calcite pf,Non-ferroan dolomite pf,Hematite stained dolomite pf,Ferroan dolomite pf,Lozenge siderite pf,Siderite pf,Microcrystalline siderite,Gypsum pf,Anhydrite pf,Anhydrite (altered),Barite pf,Halite pf,Quartz pf,Feldspar pf,Albite pf,Hematite in dolomite,Hematite pf,Hematite pl,Ti oxides pf,Leucoxene pf,Pyrite,Bitumen,Pore-filling Clay,Pore-lining clay ,Illite pf,Illite pl,Hematite stained illite pl,Chlorite,Pore-filling Kaolinite,Air bubble,Undifferentiated cement,Halite fracture fill,Anhydrite fracture fill,Fe dolomite vein,Replacive calcite,Replacive NF dolomite,Replacive Fe dolomite,Replacive siderite,Replacive chert,Replacive halite,Replacive anhydrite,Replacive barite,Replacive clay minerals,Replacive illite,Replacive chlorite,Replacive kaolinite,Replacive pyrite,Intergranular porosity,Oversized porosity,Mouldic porosity,Intergranular dissolution porosity,Secondary intragranular porosity,Intercrystalline microporosity,Fracture pore (artificial),IGV (Pmc),Q,F,R,Porosity (%),log-transformed Permeability,Permeability (mD),,,,,
10,D12-A-02,3885.21,Upper Carboniferous,46.00,10.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1.70,0.00,0.00,3.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,7.70,0.00,1.30,0.00,0.00,0.00,0.00,1.70,0.00,0.10,0.00,4.70,0.00,0.00,0.00,0.00,3.70,1.00,0.00,0.00,0.00,5.00,2.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,2.30,0.00,0.00,0.00,35.20,91.69,0.49,7.82,7.60,1.18,15.000,,,,,
11,D12-A-02,3893.83,Upper Carboniferous,22.30,3.00,0.00,0.00,0.00,1.70,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,36.40,83.50,15.51,0.99,4.90,0.39,2.470,,,,,
12,D12-A-02,3885.71,Upper Carboniferous,48.70,7.30,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.30,0.00,0.00,0.30,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,1.70,0.00,14.60,0.00,0.00,0.00,0.00,1.40,0.00,0.10,0.00,5.00,0.00,0.00,0.00,0.00,4.30,0.70,0.00,0.00,0.00,5.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,6.00,0.00,0.00,1.70,0.00,0.00,0.00,40.80,96.22,0.34,3.44,6.60,1.42,26.100,,,,,
13,E10-03,3649.50,Upper Carboniferous,42.30,9.70,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1.30,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,0.00,0.00,1.70,0.00,3.00,0.00,0.70,0.00,0.00,0.30,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,6.70,0.00,6.70,0.00,0.00,4.30,0.00,0.30,0.00,31.40,94.03,0.00,5.97,15.10,0.93,8.460,,,,,
14,E10-03,3651.48,Upper Carboniferous,46.30,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.70,0.00,0.00,0.10,0.00,4.30,0.00,0.30,0.00,0.00,0.30,0.00,0.30,0.00,9.30,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,4.70,0.00,3.00,0.00,0.00,6.70,0.30,1.00,0.00,27.70,94.30,0.00,5.70,14.00,0.78,5.980,,,,,
15,E10-03,3654.50,Upper Carboniferous,42.70,7.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.10,0.00,1.30,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,7.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,2.30,0.00,0.00,3.00,0.30,2.30,0.00,21.00,94.38,0.00,5.62,11.80,-0.80,0.160,,,,,
16,E10-03,3678.73,Upper Carboniferous,27.00,30.70,0.00,0.00,0.00,1.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,4.70,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.30,0.00,2.30,0.00,0.00,5.70,0.30,2.30,0.00,20.60,91.15,2.05,6.79,18.50,2.30,200.000,,,,,
17,E10-03,3682.02,Upper Carboniferous,41.00,10.70,0.00,0.00,0.00,0.30,0.00,0.00,0.70,0.00,0.00,0.00,0.00,1.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,2.70,0.00,6.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,6.00,0.00,2.70,0.00,0.00,1.70,0.00,2.30,0.00,29.80,93.32,0.54,6.14,9.90,-0.22,0.600,,,,,
18,E10-03,3687.25,Upper Carboniferous,43.30,19.30,0.00,0.00,0.00,1.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1.30,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,5.00,0.00,0.00,3.70,0.00,1.30,0.00,20.00,90.46,1.88,7.66,19.40,2.31,205.000,,,,,
19,E10-03,3689.00,Upper Carboniferous,44.70,9.30,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.70,0.00,2.70,0.00,0.00,3.70,0.30,1.70,0.00,19.00,88.09,2.12,9.79,12.10,0.19,1.540,,,,,
